variant,rx_name,susc,month,infection,num_study,num_result
Alpha,CoronaVac,S,1,naive,1,15
Alpha,CoronaVac,I,1,naive,1,4
Alpha,CoronaVac,R,1,naive,1,6
Alpha,Ad26.COV2.S,S,>=2,naive,4,40
Alpha,Ad26.COV2.S,I,>=2,naive,4,5
Alpha,Ad26.COV2.S,R,>=2,naive,4,0
Alpha,Ad26.COV2.S,S,1,naive,1,5
Alpha,Ad26.COV2.S,I,1,naive,1,2
Alpha,Ad26.COV2.S,R,1,naive,1,3
Alpha,AZD1222,S,1,naive,5,40
Alpha,AZD1222,I,1,naive,5,44
Alpha,AZD1222,R,1,naive,5,45
Alpha,AZD1222,S,>=2,naive,1,20
Alpha,AZD1222,I,>=2,naive,1,0
Alpha,AZD1222,R,>=2,naive,1,0
Alpha,AZD1222 + BNT162b2,S,1,naive,2,11
Alpha,AZD1222 + BNT162b2,I,1,naive,2,38
Alpha,AZD1222 + BNT162b2,R,1,naive,2,16
Alpha,Sputnik V,S,>=2,naive,2,45
Alpha,Sputnik V,I,>=2,naive,2,11
Alpha,Sputnik V,R,>=2,naive,2,1
Alpha,Sputnik V,S,1,naive,3,38
Alpha,Sputnik V,I,1,naive,3,12
Alpha,Sputnik V,R,1,naive,3,1
Alpha,MVC-COV1901,S,1,naive,1,41
Alpha,MVC-COV1901,I,1,naive,1,4
Alpha,MVC-COV1901,R,1,naive,1,0
Alpha,BBV152,S,1,naive,1,37
Alpha,BBV152,I,1,naive,1,1
Alpha,BBV152,R,1,naive,1,0
Alpha,BBV152,S,>=2,naive,1,28
Alpha,BBV152,I,>=2,naive,1,0
Alpha,BBV152,R,>=2,naive,1,0
Alpha,NVX-CoV2373,S,1,naive,1,20
Alpha,NVX-CoV2373,I,1,naive,1,7
Alpha,NVX-CoV2373,R,1,naive,1,1
Alpha,BBIBP-CorV,S,1,naive,1,22
Alpha,BBIBP-CorV,I,1,naive,1,3
Alpha,BBIBP-CorV,R,1,naive,1,0
Beta,CP,S,1,infected,33,339
Beta,CP,I,1,infected,33,382
Beta,CP,R,1,infected,33,285
Beta,CP,S,>=2,infected,19,438
Beta,CP,I,>=2,infected,19,348
Beta,CP,R,>=2,infected,19,129
Beta,mRNA-1273,S,1,naive,14,27
Beta,mRNA-1273,I,1,naive,14,131
Beta,mRNA-1273,R,1,naive,14,34
Beta,mRNA-1273,S,>=2,naive,2,1
Beta,mRNA-1273,I,>=2,naive,2,10
Beta,mRNA-1273,R,>=2,naive,2,1
Beta,mRNA-1273,S,1,infected,2,7
Beta,mRNA-1273,I,1,infected,2,24
Beta,mRNA-1273,R,1,infected,2,5
Beta,BNT162b2,S,1,naive,39,211
Beta,BNT162b2,I,1,naive,39,596
Beta,BNT162b2,R,1,naive,39,216
Beta,BNT162b2,S,>=2,naive,6,55
Beta,BNT162b2,I,>=2,naive,6,60
Beta,BNT162b2,R,>=2,naive,6,27
Beta,BNT162b2,S,1,infected,10,27
Beta,BNT162b2,I,1,infected,10,73
Beta,BNT162b2,R,1,infected,10,23
Beta,Ad26.COV2.S,S,>=2,naive,4,18
Beta,Ad26.COV2.S,I,>=2,naive,4,17
Beta,Ad26.COV2.S,R,>=2,naive,4,8
Beta,Ad26.COV2.S,S,1,naive,3,16
Beta,Ad26.COV2.S,I,1,naive,3,25
Beta,Ad26.COV2.S,R,1,naive,3,15
Beta,Ad26.COV2.S,S,1,infected,1,22
Beta,Ad26.COV2.S,I,1,infected,1,13
Beta,Ad26.COV2.S,R,1,infected,1,4
Beta,AZD1222,S,1,naive,4,6
Beta,AZD1222,I,1,naive,4,34
Beta,AZD1222,R,1,naive,4,55
Beta,AZD1222,S,>=2,naive,1,1
Beta,AZD1222,I,>=2,naive,1,14
Beta,AZD1222,R,>=2,naive,1,5
Beta,AZD1222 + BNT162b2,S,1,naive,2,11
Beta,AZD1222 + BNT162b2,I,1,naive,2,0
Beta,AZD1222 + BNT162b2,R,1,naive,2,54
Beta,mRNA,S,1,naive,0,0
Beta,mRNA,I,1,naive,0,0
Beta,mRNA,R,1,naive,0,0
Beta,mRNA,S,>=2,naive,0,0
Beta,mRNA,I,>=2,naive,0,0
Beta,mRNA,R,>=2,naive,0,0
Beta,mRNA,S,>=2,infected,0,0
Beta,mRNA,I,>=2,infected,0,0
Beta,mRNA,R,>=2,infected,0,0
Beta,CoronaVac,S,1,naive,1,8
Beta,CoronaVac,I,1,naive,1,6
Beta,CoronaVac,R,1,naive,1,11
Beta,Sputnik V,S,>=2,naive,2,13
Beta,Sputnik V,I,>=2,naive,2,21
Beta,Sputnik V,R,>=2,naive,2,8
Beta,Sputnik V,S,1,naive,3,12
Beta,Sputnik V,I,1,naive,3,3
Beta,Sputnik V,R,1,naive,3,17
Beta,BBIBP-CorV,S,1,naive,2,33
Beta,BBIBP-CorV,I,1,naive,2,7
Beta,BBIBP-CorV,R,1,naive,2,9
Beta,ZF2001,S,1,naive,1,24
Beta,ZF2001,I,1,naive,1,0
Beta,ZF2001,R,1,naive,1,0
Beta,MVC-COV1901,S,1,naive,1,4
Beta,MVC-COV1901,I,1,naive,1,23
Beta,MVC-COV1901,R,1,naive,1,18
Beta,NVX-CoV2373,S,1,naive,1,0
Beta,NVX-CoV2373,I,1,naive,1,7
Beta,NVX-CoV2373,R,1,naive,1,16
Beta,BBV152,S,1,naive,1,9
Beta,BBV152,I,1,naive,1,7
Beta,BBV152,R,1,naive,1,1
B,CP,S,1,infected,6,88
B,CP,I,1,infected,6,12
B,CP,R,1,infected,6,2
B,CP,S,>=2,infected,2,79
B,CP,I,>=2,infected,2,21
B,CP,R,>=2,infected,2,6
B,BNT162b2,S,1,naive,1,15
B,BNT162b2,I,1,naive,1,1
B,BNT162b2,R,1,naive,1,0
B,BNT162b2,S,1,infected,1,12
B,BNT162b2,I,1,infected,1,4
B,BNT162b2,R,1,infected,1,0
B.1,CP,S,1,infected,12,178
B.1,CP,I,1,infected,12,39
B.1,CP,R,1,infected,12,18
B.1,CP,S,>=2,infected,7,132
B.1,CP,I,>=2,infected,7,5
B.1,CP,R,>=2,infected,7,0
B.1,BNT162b2,S,>=2,naive,1,58
B.1,BNT162b2,I,>=2,naive,1,0
B.1,BNT162b2,R,>=2,naive,1,0
B.1,BNT162b2,S,1,naive,8,108
B.1,BNT162b2,I,1,naive,8,2
B.1,BNT162b2,R,1,naive,8,0
B.1,BNT162b2,S,1,infected,2,17
B.1,BNT162b2,I,1,infected,2,0
B.1,BNT162b2,R,1,infected,2,0
B.1,CoronaVac,S,>=2,naive,1,67
B.1,CoronaVac,I,>=2,naive,1,8
B.1,CoronaVac,R,>=2,naive,1,0
B.1,CoronaVac,S,1,naive,1,20
B.1,CoronaVac,I,1,naive,1,1
B.1,CoronaVac,R,1,naive,1,4
B.1,Ad26.COV2.S,S,>=2,naive,1,8
B.1,Ad26.COV2.S,I,>=2,naive,1,0
B.1,Ad26.COV2.S,R,>=2,naive,1,0
B.1,Ad26.COV2.S,S,1,naive,1,10
B.1,Ad26.COV2.S,I,1,naive,1,0
B.1,Ad26.COV2.S,R,1,naive,1,0
B.1,Ad26.COV2.S,S,1,infected,1,14
B.1,Ad26.COV2.S,I,1,infected,1,5
B.1,Ad26.COV2.S,R,1,infected,1,0
B.1,mRNA-1273,S,1,naive,3,28
B.1,mRNA-1273,I,1,naive,3,3
B.1,mRNA-1273,R,1,naive,3,0
B.1,BBIBP-CorV,S,1,naive,2,36
B.1,BBIBP-CorV,I,1,naive,2,1
B.1,BBIBP-CorV,R,1,naive,2,0
B.1,ZF2001,S,1,naive,1,12
B.1,ZF2001,I,1,naive,1,0
B.1,ZF2001,R,1,naive,1,0
B.1,MVC-COV1901,S,1,naive,1,44
B.1,MVC-COV1901,I,1,naive,1,1
B.1,MVC-COV1901,R,1,naive,1,0
B.1,AZD1222,S,1,naive,0,0
B.1,AZD1222,I,1,naive,0,0
B.1,AZD1222,R,1,naive,0,0
Iota,CP,S,1,infected,3,33
Iota,CP,I,1,infected,3,18
Iota,CP,R,1,infected,3,3
Iota,CP,S,>=2,infected,1,3
Iota,CP,I,>=2,infected,1,6
Iota,CP,R,>=2,infected,1,3
Iota,BNT162b2,S,1,naive,4,33
Iota,BNT162b2,I,1,naive,4,12
Iota,BNT162b2,R,1,naive,4,0
Iota,BNT162b2,S,>=2,naive,1,0
Iota,BNT162b2,I,>=2,naive,1,3
Iota,BNT162b2,R,>=2,naive,1,0
Iota,mRNA-1273,S,1,naive,5,33
Iota,mRNA-1273,I,1,naive,5,19
Iota,mRNA-1273,R,1,naive,5,1
Iota,mRNA-1273,S,>=2,naive,1,0
Iota,mRNA-1273,I,>=2,naive,1,5
Iota,mRNA-1273,R,>=2,naive,1,0
Iota,mRNA-1273,S,1,infected,1,10
Iota,mRNA-1273,I,1,infected,1,5
Iota,mRNA-1273,R,1,infected,1,0
Iota,CoronaVac,S,1,naive,0,0
Iota,CoronaVac,I,1,naive,0,0
Iota,CoronaVac,R,1,naive,0,0
Delta,CP,S,1,infected,6,75
Delta,CP,I,1,infected,6,60
Delta,CP,R,1,infected,6,8
Delta,CP,S,>=2,infected,7,114
Delta,CP,I,>=2,infected,7,52
Delta,CP,R,>=2,infected,7,17
Delta,BNT162b2,S,1,naive,14,245
Delta,BNT162b2,I,1,naive,14,165
Delta,BNT162b2,R,1,naive,14,30
Delta,BNT162b2,S,>=2,naive,5,83
Delta,BNT162b2,I,>=2,naive,5,85
Delta,BNT162b2,R,>=2,naive,5,21
Delta,BNT162b2,S,1,infected,1,0
Delta,BNT162b2,I,1,infected,1,6
Delta,BNT162b2,R,1,infected,1,0
Delta,Ad26.COV2.S,S,>=2,naive,3,15
Delta,Ad26.COV2.S,I,>=2,naive,3,8
Delta,Ad26.COV2.S,R,>=2,naive,3,2
Delta,Ad26.COV2.S,S,1,naive,3,12
Delta,Ad26.COV2.S,I,1,naive,3,16
Delta,Ad26.COV2.S,R,1,naive,3,9
Delta,Ad26.COV2.S,S,1,infected,1,8
Delta,Ad26.COV2.S,I,1,infected,1,24
Delta,Ad26.COV2.S,R,1,infected,1,7
Delta,AZD1222,S,1,naive,4,30
Delta,AZD1222,I,1,naive,4,74
Delta,AZD1222,R,1,naive,4,7
Delta,AZD1222,S,>=2,naive,1,4
Delta,AZD1222,I,>=2,naive,1,15
Delta,AZD1222,R,>=2,naive,1,1
Delta,AZD1222,S,1,infected,1,12
Delta,AZD1222,I,1,infected,1,7
Delta,AZD1222,R,1,infected,1,0
Delta,AZD1222 + BNT162b2,S,1,naive,1,11
Delta,AZD1222 + BNT162b2,I,1,naive,1,0
Delta,AZD1222 + BNT162b2,R,1,naive,1,0
Delta,mRNA-1273,S,1,naive,5,22
Delta,mRNA-1273,I,1,naive,5,26
Delta,mRNA-1273,R,1,naive,5,1
Delta,mRNA-1273,S,>=2,naive,2,10
Delta,mRNA-1273,I,>=2,naive,2,9
Delta,mRNA-1273,R,>=2,naive,2,1
Delta,mRNA-1273,S,1,infected,1,11
Delta,mRNA-1273,I,1,infected,1,4
Delta,mRNA-1273,R,1,infected,1,0
Delta,mRNA,S,>=2,naive,0,0
Delta,mRNA,I,>=2,naive,0,0
Delta,mRNA,R,>=2,naive,0,0
Delta,mRNA,S,>=2,infected,0,0
Delta,mRNA,I,>=2,infected,0,0
Delta,mRNA,R,>=2,infected,0,0
Delta,Sputnik V,S,>=2,naive,2,14
Delta,Sputnik V,I,>=2,naive,2,16
Delta,Sputnik V,R,>=2,naive,2,1
Delta,Sputnik V,S,1,naive,1,6
Delta,Sputnik V,I,1,naive,1,8
Delta,Sputnik V,R,1,naive,1,5
Delta,CoronaVac,S,1,naive,0,0
Delta,CoronaVac,I,1,naive,0,0
Delta,CoronaVac,R,1,naive,0,0
Delta,BBV152,S,1,naive,1,12
Delta,BBV152,I,1,naive,1,3
Delta,BBV152,R,1,naive,1,2
Delta,BBV152,S,>=2,naive,0,0
Delta,BBV152,I,>=2,naive,0,0
Delta,BBV152,R,>=2,naive,0,0
Delta,BBV152,S,>=2,infected,0,0
Delta,BBV152,I,>=2,infected,0,0
Delta,BBV152,R,>=2,infected,0,0
B.1.1.298,CP,S,1,infected,2,77
B.1.1.298,CP,I,1,infected,2,2
B.1.1.298,CP,R,1,infected,2,0
B.1.1.298,CP,S,>=2,infected,0,0
B.1.1.298,CP,I,>=2,infected,0,0
B.1.1.298,CP,R,>=2,infected,0,0
B.1.1.298,BNT162b2,S,1,naive,1,12
B.1.1.298,BNT162b2,I,1,naive,1,0
B.1.1.298,BNT162b2,R,1,naive,1,0
B.1.1.298,mRNA-1273,S,1,naive,0,0
B.1.1.298,mRNA-1273,I,1,naive,0,0
B.1.1.298,mRNA-1273,R,1,naive,0,0
B.1.1.117,CP,S,1,infected,1,1
B.1.1.117,CP,I,1,infected,1,5
B.1.1.117,CP,R,1,infected,1,0
Alpha/E484K,CP,S,1,infected,3,40
Alpha/E484K,CP,I,1,infected,3,35
Alpha/E484K,CP,R,1,infected,3,23
Alpha/E484K,CP,S,>=2,infected,2,18
Alpha/E484K,CP,I,>=2,infected,2,33
Alpha/E484K,CP,R,>=2,infected,2,8
Alpha/E484K,mRNA-1273,S,1,naive,3,10
Alpha/E484K,mRNA-1273,I,1,naive,3,21
Alpha/E484K,mRNA-1273,R,1,naive,3,2
Alpha/E484K,mRNA-1273,S,1,infected,1,4
Alpha/E484K,mRNA-1273,I,1,infected,1,10
Alpha/E484K,mRNA-1273,R,1,infected,1,1
Alpha/E484K,BNT162b2,S,1,naive,2,22
Alpha/E484K,BNT162b2,I,1,naive,2,13
Alpha/E484K,BNT162b2,R,1,naive,2,6
Alpha/E484K,CoronaVac,S,1,naive,1,16
Alpha/E484K,CoronaVac,I,1,naive,1,4
Alpha/E484K,CoronaVac,R,1,naive,1,0
Alpha/E484K,ZF2001,S,1,naive,1,2
Alpha/E484K,ZF2001,I,1,naive,1,0
Alpha/E484K,ZF2001,R,1,naive,1,0
Epsilon,CP,S,>=2,infected,3,13
Epsilon,CP,I,>=2,infected,3,11
Epsilon,CP,R,>=2,infected,3,3
Epsilon,CP,S,1,infected,4,15
Epsilon,CP,I,1,infected,4,15
Epsilon,CP,R,1,infected,4,5
Epsilon,Ad26.COV2.S,S,>=2,naive,2,16
Epsilon,Ad26.COV2.S,I,>=2,naive,2,10
Epsilon,Ad26.COV2.S,R,>=2,naive,2,1
Epsilon,Ad26.COV2.S,S,1,naive,1,3
Epsilon,Ad26.COV2.S,I,1,naive,1,4
Epsilon,Ad26.COV2.S,R,1,naive,1,3
Epsilon,CoronaVac,S,1,naive,0,0
Epsilon,CoronaVac,I,1,naive,0,0
Epsilon,CoronaVac,R,1,naive,0,0
Epsilon,mRNA-1273,S,1,naive,6,81
Epsilon,mRNA-1273,I,1,naive,6,39
Epsilon,mRNA-1273,R,1,naive,6,2
Epsilon,mRNA-1273,S,1,infected,1,17
Epsilon,mRNA-1273,I,1,infected,1,13
Epsilon,mRNA-1273,R,1,infected,1,0
Epsilon,BNT162b2,S,1,naive,4,54
Epsilon,BNT162b2,I,1,naive,4,21
Epsilon,BNT162b2,R,1,naive,4,0
Epsilon,BNT162b2,S,1,infected,1,2
Epsilon,BNT162b2,I,1,infected,1,3
Epsilon,BNT162b2,R,1,infected,1,0
Epsilon,NVX-CoV2373,S,1,naive,1,14
Epsilon,NVX-CoV2373,I,1,naive,1,9
Epsilon,NVX-CoV2373,R,1,naive,1,0
A,CP,S,>=2,infected,1,20
A,CP,I,>=2,infected,1,0
A,CP,R,>=2,infected,1,0
A,CP,S,1,infected,1,20
A,CP,I,1,infected,1,0
A,CP,R,1,infected,1,0
A,mRNA-1273,S,1,naive,1,14
A,mRNA-1273,I,1,naive,1,0
A,mRNA-1273,R,1,naive,1,0
Kappa,CP,S,1,infected,4,62
Kappa,CP,I,1,infected,4,23
Kappa,CP,R,1,infected,4,9
Kappa,CP,S,>=2,infected,2,11
Kappa,CP,I,>=2,infected,2,26
Kappa,CP,R,>=2,infected,2,7
Kappa,Ad26.COV2.S,S,>=2,naive,2,14
Kappa,Ad26.COV2.S,I,>=2,naive,2,2
Kappa,Ad26.COV2.S,R,>=2,naive,2,0
Kappa,Ad26.COV2.S,S,1,naive,2,4
Kappa,Ad26.COV2.S,I,1,naive,2,9
Kappa,Ad26.COV2.S,R,1,naive,2,5
Kappa,mRNA-1273,S,1,naive,4,12
Kappa,mRNA-1273,I,1,naive,4,36
Kappa,mRNA-1273,R,1,naive,4,2
Kappa,mRNA-1273,S,>=2,naive,1,0
Kappa,mRNA-1273,I,>=2,naive,1,11
Kappa,mRNA-1273,R,>=2,naive,1,2
Kappa,mRNA-1273,S,1,infected,1,5
Kappa,mRNA-1273,I,1,infected,1,10
Kappa,mRNA-1273,R,1,infected,1,0
Kappa,BNT162b2,S,1,naive,6,43
Kappa,BNT162b2,I,1,naive,6,60
Kappa,BNT162b2,R,1,naive,6,3
Kappa,AZD1222 + BNT162b2,S,1,naive,0,0
Kappa,AZD1222 + BNT162b2,I,1,naive,0,0
Kappa,AZD1222 + BNT162b2,R,1,naive,0,0
Kappa,CoronaVac,S,1,naive,1,7
Kappa,CoronaVac,I,1,naive,1,13
Kappa,CoronaVac,R,1,naive,1,0
Kappa,ZF2001,S,1,naive,1,0
Kappa,ZF2001,I,1,naive,1,2
Kappa,ZF2001,R,1,naive,1,0
Kappa,AZD1222,S,1,naive,2,16
Kappa,AZD1222,I,1,naive,2,40
Kappa,AZD1222,R,1,naive,2,1
Kappa,AZD1222,S,1,infected,0,0
Kappa,AZD1222,I,1,infected,0,0
Kappa,AZD1222,R,1,infected,0,0
Kappa,BBV152,S,>=2,naive,1,26
Kappa,BBV152,I,>=2,naive,1,2
Kappa,BBV152,R,>=2,naive,1,0
B.1.463,CP,S,1,infected,1,13
B.1.463,CP,I,1,infected,1,29
B.1.463,CP,R,1,infected,1,8
B.1.463,BNT162b2,S,1,naive,1,85
B.1.463,BNT162b2,I,1,naive,1,1
B.1.463,BNT162b2,R,1,naive,1,0
Beta w/o K417N,CP,S,>=2,infected,1,19
Beta w/o K417N,CP,I,>=2,infected,1,29
Beta w/o K417N,CP,R,>=2,infected,1,0
Eta,CP,S,>=2,infected,1,16
Eta,CP,I,>=2,infected,1,0
Eta,CP,R,>=2,infected,1,0
Eta,mRNA-1273,S,1,naive,3,9
Eta,mRNA-1273,I,1,naive,3,28
Eta,mRNA-1273,R,1,naive,3,7
Eta,mRNA-1273,S,1,infected,1,6
Eta,mRNA-1273,I,1,infected,1,9
Eta,mRNA-1273,R,1,infected,1,0
Eta,BNT162b2,S,1,naive,2,20
Eta,BNT162b2,I,1,naive,2,13
Eta,BNT162b2,R,1,naive,2,17
B.1.1.241,CP,S,1,infected,0,0
B.1.1.241,CP,I,1,infected,0,0
B.1.1.241,CP,R,1,infected,0,0
B.1.1.241,BNT162b2,S,1,naive,0,0
B.1.1.241,BNT162b2,I,1,naive,0,0
B.1.1.241,BNT162b2,R,1,naive,0,0
Zeta,CP,S,1,infected,1,18
Zeta,CP,I,1,infected,1,1
Zeta,CP,R,1,infected,1,0
Zeta,CP,S,>=2,infected,1,7
Zeta,CP,I,>=2,infected,1,11
Zeta,CP,R,>=2,infected,1,4
Zeta,BNT162b2,S,1,naive,1,0
Zeta,BNT162b2,I,1,naive,1,6
Zeta,BNT162b2,R,1,naive,1,4
Zeta,BNT162b2,S,1,infected,1,0
Zeta,BNT162b2,I,1,infected,1,0
Zeta,BNT162b2,R,1,infected,1,2
Zeta,mRNA-1273,S,1,naive,1,0
Zeta,mRNA-1273,I,1,naive,1,13
Zeta,mRNA-1273,R,1,naive,1,3
Zeta,Ad26.COV2.S,S,>=2,naive,1,7
Zeta,Ad26.COV2.S,I,>=2,naive,1,1
Zeta,Ad26.COV2.S,R,>=2,naive,1,0
Zeta,BBV152,S,>=2,naive,1,32
Zeta,BBV152,I,>=2,naive,1,10
Zeta,BBV152,R,>=2,naive,1,0
Lambda,CP,S,1,infected,2,8
Lambda,CP,I,1,infected,2,5
Lambda,CP,R,1,infected,2,1
Lambda,CP,S,>=2,infected,2,5
Lambda,CP,I,>=2,infected,2,4
Lambda,CP,R,>=2,infected,2,1
Lambda,BNT162b2,S,>=2,naive,2,59
Lambda,BNT162b2,I,>=2,naive,2,7
Lambda,BNT162b2,R,>=2,naive,2,1
Lambda,BNT162b2,S,1,naive,6,82
Lambda,BNT162b2,I,1,naive,6,15
Lambda,BNT162b2,R,1,naive,6,0
Lambda,BNT162b2,S,1,infected,1,0
Lambda,BNT162b2,I,1,infected,1,6
Lambda,BNT162b2,R,1,infected,1,0
Lambda,CoronaVac,S,>=2,naive,1,41
Lambda,CoronaVac,I,>=2,naive,1,31
Lambda,CoronaVac,R,>=2,naive,1,3
Lambda,mRNA,S,1,naive,0,0
Lambda,mRNA,I,1,naive,0,0
Lambda,mRNA,R,1,naive,0,0
Lambda,Sputnik V,S,>=2,naive,1,10
Lambda,Sputnik V,I,>=2,naive,1,7
Lambda,Sputnik V,R,>=2,naive,1,1
Lambda,Sputnik V,S,1,naive,1,8
Lambda,Sputnik V,I,1,naive,1,8
Lambda,Sputnik V,R,1,naive,1,1
Lambda,mRNA-1273,S,1,naive,2,8
Lambda,mRNA-1273,I,1,naive,2,5
Lambda,mRNA-1273,R,1,naive,2,0
Lambda,mRNA-1273,S,>=2,naive,1,1
Lambda,mRNA-1273,I,>=2,naive,1,6
Lambda,mRNA-1273,R,>=2,naive,1,0
Lambda,Ad26.COV2.S,S,>=2,naive,1,3
Lambda,Ad26.COV2.S,I,>=2,naive,1,4
Lambda,Ad26.COV2.S,R,>=2,naive,1,1
Delta/K417N,CP,S,>=2,infected,1,4
Delta/K417N,CP,I,>=2,infected,1,4
Delta/K417N,CP,R,>=2,infected,1,0
Delta/K417N,BNT162b2,S,1,naive,3,47
Delta/K417N,BNT162b2,I,1,naive,3,20
Delta/K417N,BNT162b2,R,1,naive,3,1
Delta/K417N,BNT162b2,S,>=2,naive,1,5
Delta/K417N,BNT162b2,I,>=2,naive,1,4
Delta/K417N,BNT162b2,R,>=2,naive,1,0
Delta/K417N,Ad26.COV2.S,S,1,naive,1,1
Delta/K417N,Ad26.COV2.S,I,1,naive,1,5
Delta/K417N,Ad26.COV2.S,R,1,naive,1,2
Delta/K417N,Ad26.COV2.S,S,>=2,naive,1,4
Delta/K417N,Ad26.COV2.S,I,>=2,naive,1,3
Delta/K417N,Ad26.COV2.S,R,>=2,naive,1,1
Delta/K417N,mRNA-1273,S,1,naive,2,3
Delta/K417N,mRNA-1273,I,1,naive,2,14
Delta/K417N,mRNA-1273,R,1,naive,2,5
Delta/K417N,mRNA-1273,S,>=2,naive,1,2
Delta/K417N,mRNA-1273,I,>=2,naive,1,5
Delta/K417N,mRNA-1273,R,>=2,naive,1,0
Delta/K417N,BBV152,S,>=2,naive,0,0
Delta/K417N,BBV152,I,>=2,naive,0,0
Delta/K417N,BBV152,R,>=2,naive,0,0
Delta/K417N,BBV152,S,>=2,infected,0,0
Delta/K417N,BBV152,I,>=2,infected,0,0
Delta/K417N,BBV152,R,>=2,infected,0,0
D.2,CP,S,>=2,infected,0,0
D.2,CP,I,>=2,infected,0,0
D.2,CP,R,>=2,infected,0,0
D.2,CP,S,1,infected,0,0
D.2,CP,I,1,infected,0,0
D.2,CP,R,1,infected,0,0
B.1.319,CP,S,1,infected,0,0
B.1.319,CP,I,1,infected,0,0
B.1.319,CP,R,1,infected,0,0
Mu,CP,S,>=2,infected,1,0
Mu,CP,I,>=2,infected,1,0
Mu,CP,R,>=2,infected,1,2
Mu,CP,S,1,infected,1,0
Mu,CP,I,1,infected,1,4
Mu,CP,R,1,infected,1,2
Mu,BNT162b2,S,1,naive,3,30
Mu,BNT162b2,I,1,naive,3,33
Mu,BNT162b2,R,1,naive,3,3
Mu,BNT162b2,S,>=2,naive,1,25
Mu,BNT162b2,I,>=2,naive,1,7
Mu,BNT162b2,R,>=2,naive,1,0
Mu,BNT162b2,S,1,infected,1,0
Mu,BNT162b2,I,1,infected,1,6
Mu,BNT162b2,R,1,infected,1,0
Iota w/o E484K,CP,S,1,infected,2,13
Iota w/o E484K,CP,I,1,infected,2,1
